,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species_Chinstrap,species_Gentoo,island_Dream,island_Torgersen
0,39.1,18.7,181.0,3750.0,1,0,0,0,1
1,39.5,17.4,186.0,3800.0,0,0,0,0,1
2,40.3,18.0,195.0,3250.0,0,0,0,0,1
4,36.7,19.3,193.0,3450.0,0,0,0,0,1
5,39.3,20.6,190.0,3650.0,1,0,0,0,1
6,38.9,17.8,181.0,3625.0,0,0,0,0,1
7,39.2,19.6,195.0,4675.0,1,0,0,0,1
12,41.1,17.6,182.0,3200.0,0,0,0,0,1
13,38.6,21.2,191.0,3800.0,1,0,0,0,1
14,34.6,21.1,198.0,4400.0,1,0,0,0,1
15,36.6,17.8,185.0,3700.0,0,0,0,0,1
16,38.7,19.0,195.0,3450.0,0,0,0,0,1
17,42.5,20.7,197.0,4500.0,1,0,0,0,1
18,34.4,18.4,184.0,3325.0,0,0,0,0,1
19,46.0,21.5,194.0,4200.0,1,0,0,0,1
20,37.8,18.3,174.0,3400.0,0,0,0,0,0
21,37.7,18.7,180.0,3600.0,1,0,0,0,0
22,35.9,19.2,189.0,3800.0,0,0,0,0,0
23,38.2,18.1,185.0,3950.0,1,0,0,0,0
24,38.8,17.2,180.0,3800.0,1,0,0,0,0
25,35.3,18.9,187.0,3800.0,0,0,0,0,0
26,40.6,18.6,183.0,3550.0,1,0,0,0,0
27,40.5,17.9,187.0,3200.0,0,0,0,0,0
28,37.9,18.6,172.0,3150.0,0,0,0,0,0
29,40.5,18.9,180.0,3950.0,1,0,0,0,0
30,39.5,16.7,178.0,3250.0,0,0,0,1,0
31,37.2,18.1,178.0,3900.0,1,0,0,1,0
32,39.5,17.8,188.0,3300.0,0,0,0,1,0
33,40.9,18.9,184.0,3900.0,1,0,0,1,0
34,36.4,17.0,195.0,3325.0,0,0,0,1,0
35,39.2,21.1,196.0,4150.0,1,0,0,1,0
36,38.8,20.0,190.0,3950.0,1,0,0,1,0
37,42.2,18.5,180.0,3550.0,0,0,0,1,0
38,37.6,19.3,181.0,3300.0,0,0,0,1,0
39,39.8,19.1,184.0,4650.0,1,0,0,1,0
40,36.5,18.0,182.0,3150.0,0,0,0,1,0
41,40.8,18.4,195.0,3900.0,1,0,0,1,0
42,36.0,18.5,186.0,3100.0,0,0,0,1,0
43,44.1,19.7,196.0,4400.0,1,0,0,1,0
44,37.0,16.9,185.0,3000.0,0,0,0,1,0
45,39.6,18.8,190.0,4600.0,1,0,0,1,0
46,41.1,19.0,182.0,3425.0,1,0,0,1,0
48,36.0,17.9,190.0,3450.0,0,0,0,1,0
49,42.3,21.2,191.0,4150.0,1,0,0,1,0
50,39.6,17.7,186.0,3500.0,0,0,0,0,0
51,40.1,18.9,188.0,4300.0,1,0,0,0,0
52,35.0,17.9,190.0,3450.0,0,0,0,0,0
53,42.0,19.5,200.0,4050.0,1,0,0,0,0
54,34.5,18.1,187.0,2900.0,0,0,0,0,0
55,41.4,18.6,191.0,3700.0,1,0,0,0,0
56,39.0,17.5,186.0,3550.0,0,0,0,0,0
57,40.6,18.8,193.0,3800.0,1,0,0,0,0
58,36.5,16.6,181.0,2850.0,0,0,0,0,0
59,37.6,19.1,194.0,3750.0,1,0,0,0,0
60,35.7,16.9,185.0,3150.0,0,0,0,0,0
61,41.3,21.1,195.0,4400.0,1,0,0,0,0
62,37.6,17.0,185.0,3600.0,0,0,0,0,0
63,41.1,18.2,192.0,4050.0,1,0,0,0,0
64,36.4,17.1,184.0,2850.0,0,0,0,0,0
65,41.6,18.0,192.0,3950.0,1,0,0,0,0
66,35.5,16.2,195.0,3350.0,0,0,0,0,0
67,41.1,19.1,188.0,4100.0,1,0,0,0,0
68,35.9,16.6,190.0,3050.0,0,0,0,0,1
69,41.8,19.4,198.0,4450.0,1,0,0,0,1
70,33.5,19.0,190.0,3600.0,0,0,0,0,1
71,39.7,18.4,190.0,3900.0,1,0,0,0,1
72,39.6,17.2,196.0,3550.0,0,0,0,0,1
73,45.8,18.9,197.0,4150.0,1,0,0,0,1
74,35.5,17.5,190.0,3700.0,0,0,0,0,1
75,42.8,18.5,195.0,4250.0,1,0,0,0,1
76,40.9,16.8,191.0,3700.0,0,0,0,0,1
77,37.2,19.4,184.0,3900.0,1,0,0,0,1
78,36.2,16.1,187.0,3550.0,0,0,0,0,1
79,42.1,19.1,195.0,4000.0,1,0,0,0,1
80,34.6,17.2,189.0,3200.0,0,0,0,0,1
81,42.9,17.6,196.0,4700.0,1,0,0,0,1
82,36.7,18.8,187.0,3800.0,0,0,0,0,1
83,35.1,19.4,193.0,4200.0,1,0,0,0,1
84,37.3,17.8,191.0,3350.0,0,0,0,1,0
85,41.3,20.3,194.0,3550.0,1,0,0,1,0
86,36.3,19.5,190.0,3800.0,1,0,0,1,0
87,36.9,18.6,189.0,3500.0,0,0,0,1,0
88,38.3,19.2,189.0,3950.0,1,0,0,1,0
89,38.9,18.8,190.0,3600.0,0,0,0,1,0
90,35.7,18.0,202.0,3550.0,0,0,0,1,0
91,41.1,18.1,205.0,4300.0,1,0,0,1,0
92,34.0,17.1,185.0,3400.0,0,0,0,1,0
93,39.6,18.1,186.0,4450.0,1,0,0,1,0
94,36.2,17.3,187.0,3300.0,0,0,0,1,0
95,40.8,18.9,208.0,4300.0,1,0,0,1,0
96,38.1,18.6,190.0,3700.0,0,0,0,1,0
97,40.3,18.5,196.0,4350.0,1,0,0,1,0
98,33.1,16.1,178.0,2900.0,0,0,0,1,0
99,43.2,18.5,192.0,4100.0,1,0,0,1,0
100,35.0,17.9,192.0,3725.0,0,0,0,0,0
101,41.0,20.0,203.0,4725.0,1,0,0,0,0
102,37.7,16.0,183.0,3075.0,0,0,0,0,0
103,37.8,20.0,190.0,4250.0,1,0,0,0,0
104,37.9,18.6,193.0,2925.0,0,0,0,0,0
105,39.7,18.9,184.0,3550.0,1,0,0,0,0
106,38.6,17.2,199.0,3750.0,0,0,0,0,0
107,38.2,20.0,190.0,3900.0,1,0,0,0,0
108,38.1,17.0,181.0,3175.0,0,0,0,0,0
109,43.2,19.0,197.0,4775.0,1,0,0,0,0
110,38.1,16.5,198.0,3825.0,0,0,0,0,0
111,45.6,20.3,191.0,4600.0,1,0,0,0,0
112,39.7,17.7,193.0,3200.0,0,0,0,0,0
113,42.2,19.5,197.0,4275.0,1,0,0,0,0
114,39.6,20.7,191.0,3900.0,0,0,0,0,0
115,42.7,18.3,196.0,4075.0,1,0,0,0,0
116,38.6,17.0,188.0,2900.0,0,0,0,0,1
117,37.3,20.5,199.0,3775.0,1,0,0,0,1
118,35.7,17.0,189.0,3350.0,0,0,0,0,1
119,41.1,18.6,189.0,3325.0,1,0,0,0,1
120,36.2,17.2,187.0,3150.0,0,0,0,0,1
121,37.7,19.8,198.0,3500.0,1,0,0,0,1
122,40.2,17.0,176.0,3450.0,0,0,0,0,1
123,41.4,18.5,202.0,3875.0,1,0,0,0,1
124,35.2,15.9,186.0,3050.0,0,0,0,0,1
125,40.6,19.0,199.0,4000.0,1,0,0,0,1
126,38.8,17.6,191.0,3275.0,0,0,0,0,1
127,41.5,18.3,195.0,4300.0,1,0,0,0,1
128,39.0,17.1,191.0,3050.0,0,0,0,0,1
129,44.1,18.0,210.0,4000.0,1,0,0,0,1
130,38.5,17.9,190.0,3325.0,0,0,0,0,1
131,43.1,19.2,197.0,3500.0,1,0,0,0,1
132,36.8,18.5,193.0,3500.0,0,0,0,1,0
133,37.5,18.5,199.0,4475.0,1,0,0,1,0
134,38.1,17.6,187.0,3425.0,0,0,0,1,0
135,41.1,17.5,190.0,3900.0,1,0,0,1,0
136,35.6,17.5,191.0,3175.0,0,0,0,1,0
137,40.2,20.1,200.0,3975.0,1,0,0,1,0
138,37.0,16.5,185.0,3400.0,0,0,0,1,0
139,39.7,17.9,193.0,4250.0,1,0,0,1,0
140,40.2,17.1,193.0,3400.0,0,0,0,1,0
141,40.6,17.2,187.0,3475.0,1,0,0,1,0
142,32.1,15.5,188.0,3050.0,0,0,0,1,0
143,40.7,17.0,190.0,3725.0,1,0,0,1,0
144,37.3,16.8,192.0,3000.0,0,0,0,1,0
145,39.0,18.7,185.0,3650.0,1,0,0,1,0
146,39.2,18.6,190.0,4250.0,1,0,0,1,0
147,36.6,18.4,184.0,3475.0,0,0,0,1,0
148,36.0,17.8,195.0,3450.0,0,0,0,1,0
149,37.8,18.1,193.0,3750.0,1,0,0,1,0
150,36.0,17.1,187.0,3700.0,0,0,0,1,0
151,41.5,18.5,201.0,4000.0,1,0,0,1,0
152,46.1,13.2,211.0,4500.0,0,0,1,0,0
153,50.0,16.3,230.0,5700.0,1,0,1,0,0
154,48.7,14.1,210.0,4450.0,0,0,1,0,0
155,50.0,15.2,218.0,5700.0,1,0,1,0,0
156,47.6,14.5,215.0,5400.0,1,0,1,0,0
157,46.5,13.5,210.0,4550.0,0,0,1,0,0
158,45.4,14.6,211.0,4800.0,0,0,1,0,0
159,46.7,15.3,219.0,5200.0,1,0,1,0,0
160,43.3,13.4,209.0,4400.0,0,0,1,0,0
161,46.8,15.4,215.0,5150.0,1,0,1,0,0
162,40.9,13.7,214.0,4650.0,0,0,1,0,0
163,49.0,16.1,216.0,5550.0,1,0,1,0,0
164,45.5,13.7,214.0,4650.0,0,0,1,0,0
165,48.4,14.6,213.0,5850.0,1,0,1,0,0
166,45.8,14.6,210.0,4200.0,0,0,1,0,0
167,49.3,15.7,217.0,5850.0,1,0,1,0,0
168,42.0,13.5,210.0,4150.0,0,0,1,0,0
169,49.2,15.2,221.0,6300.0,1,0,1,0,0
170,46.2,14.5,209.0,4800.0,0,0,1,0,0
171,48.7,15.1,222.0,5350.0,1,0,1,0,0
172,50.2,14.3,218.0,5700.0,1,0,1,0,0
173,45.1,14.5,215.0,5000.0,0,0,1,0,0
174,46.5,14.5,213.0,4400.0,0,0,1,0,0
175,46.3,15.8,215.0,5050.0,1,0,1,0,0
176,42.9,13.1,215.0,5000.0,0,0,1,0,0
177,46.1,15.1,215.0,5100.0,1,0,1,0,0
179,47.8,15.0,215.0,5650.0,1,0,1,0,0
180,48.2,14.3,210.0,4600.0,0,0,1,0,0
181,50.0,15.3,220.0,5550.0,1,0,1,0,0
182,47.3,15.3,222.0,5250.0,1,0,1,0,0
183,42.8,14.2,209.0,4700.0,0,0,1,0,0
184,45.1,14.5,207.0,5050.0,0,0,1,0,0
185,59.6,17.0,230.0,6050.0,1,0,1,0,0
186,49.1,14.8,220.0,5150.0,0,0,1,0,0
187,48.4,16.3,220.0,5400.0,1,0,1,0,0
188,42.6,13.7,213.0,4950.0,0,0,1,0,0
189,44.4,17.3,219.0,5250.0,1,0,1,0,0
190,44.0,13.6,208.0,4350.0,0,0,1,0,0
191,48.7,15.7,208.0,5350.0,1,0,1,0,0
192,42.7,13.7,208.0,3950.0,0,0,1,0,0
193,49.6,16.0,225.0,5700.0,1,0,1,0,0
194,45.3,13.7,210.0,4300.0,0,0,1,0,0
195,49.6,15.0,216.0,4750.0,1,0,1,0,0
196,50.5,15.9,222.0,5550.0,1,0,1,0,0
197,43.6,13.9,217.0,4900.0,0,0,1,0,0
198,45.5,13.9,210.0,4200.0,0,0,1,0,0
199,50.5,15.9,225.0,5400.0,1,0,1,0,0
200,44.9,13.3,213.0,5100.0,0,0,1,0,0
201,45.2,15.8,215.0,5300.0,1,0,1,0,0
202,46.6,14.2,210.0,4850.0,0,0,1,0,0
203,48.5,14.1,220.0,5300.0,1,0,1,0,0
204,45.1,14.4,210.0,4400.0,0,0,1,0,0
205,50.1,15.0,225.0,5000.0,1,0,1,0,0
206,46.5,14.4,217.0,4900.0,0,0,1,0,0
207,45.0,15.4,220.0,5050.0,1,0,1,0,0
208,43.8,13.9,208.0,4300.0,0,0,1,0,0
209,45.5,15.0,220.0,5000.0,1,0,1,0,0
210,43.2,14.5,208.0,4450.0,0,0,1,0,0
211,50.4,15.3,224.0,5550.0,1,0,1,0,0
212,45.3,13.8,208.0,4200.0,0,0,1,0,0
213,46.2,14.9,221.0,5300.0,1,0,1,0,0
214,45.7,13.9,214.0,4400.0,0,0,1,0,0
215,54.3,15.7,231.0,5650.0,1,0,1,0,0
216,45.8,14.2,219.0,4700.0,0,0,1,0,0
217,49.8,16.8,230.0,5700.0,1,0,1,0,0
219,49.5,16.2,229.0,5800.0,1,0,1,0,0
220,43.5,14.2,220.0,4700.0,0,0,1,0,0
221,50.7,15.0,223.0,5550.0,1,0,1,0,0
222,47.7,15.0,216.0,4750.0,0,0,1,0,0
223,46.4,15.6,221.0,5000.0,1,0,1,0,0
224,48.2,15.6,221.0,5100.0,1,0,1,0,0
225,46.5,14.8,217.0,5200.0,0,0,1,0,0
226,46.4,15.0,216.0,4700.0,0,0,1,0,0
227,48.6,16.0,230.0,5800.0,1,0,1,0,0
228,47.5,14.2,209.0,4600.0,0,0,1,0,0
229,51.1,16.3,220.0,6000.0,1,0,1,0,0
230,45.2,13.8,215.0,4750.0,0,0,1,0,0
231,45.2,16.4,223.0,5950.0,1,0,1,0,0
232,49.1,14.5,212.0,4625.0,0,0,1,0,0
233,52.5,15.6,221.0,5450.0,1,0,1,0,0
234,47.4,14.6,212.0,4725.0,0,0,1,0,0
235,50.0,15.9,224.0,5350.0,1,0,1,0,0
236,44.9,13.8,212.0,4750.0,0,0,1,0,0
237,50.8,17.3,228.0,5600.0,1,0,1,0,0
238,43.4,14.4,218.0,4600.0,0,0,1,0,0
239,51.3,14.2,218.0,5300.0,1,0,1,0,0
240,47.5,14.0,212.0,4875.0,0,0,1,0,0
241,52.1,17.0,230.0,5550.0,1,0,1,0,0
242,47.5,15.0,218.0,4950.0,0,0,1,0,0
243,52.2,17.1,228.0,5400.0,1,0,1,0,0
244,45.5,14.5,212.0,4750.0,0,0,1,0,0
245,49.5,16.1,224.0,5650.0,1,0,1,0,0
246,44.5,14.7,214.0,4850.0,0,0,1,0,0
247,50.8,15.7,226.0,5200.0,1,0,1,0,0
248,49.4,15.8,216.0,4925.0,1,0,1,0,0
249,46.9,14.6,222.0,4875.0,0,0,1,0,0
250,48.4,14.4,203.0,4625.0,0,0,1,0,0
251,51.1,16.5,225.0,5250.0,1,0,1,0,0
252,48.5,15.0,219.0,4850.0,0,0,1,0,0
253,55.9,17.0,228.0,5600.0,1,0,1,0,0
254,47.2,15.5,215.0,4975.0,0,0,1,0,0
255,49.1,15.0,228.0,5500.0,1,0,1,0,0
257,46.8,16.1,215.0,5500.0,1,0,1,0,0
258,41.7,14.7,210.0,4700.0,0,0,1,0,0
259,53.4,15.8,219.0,5500.0,1,0,1,0,0
260,43.3,14.0,208.0,4575.0,0,0,1,0,0
261,48.1,15.1,209.0,5500.0,1,0,1,0,0
262,50.5,15.2,216.0,5000.0,0,0,1,0,0
263,49.8,15.9,229.0,5950.0,1,0,1,0,0
264,43.5,15.2,213.0,4650.0,0,0,1,0,0
265,51.5,16.3,230.0,5500.0,1,0,1,0,0
266,46.2,14.1,217.0,4375.0,0,0,1,0,0
267,55.1,16.0,230.0,5850.0,1,0,1,0,0
269,48.8,16.2,222.0,6000.0,1,0,1,0,0
270,47.2,13.7,214.0,4925.0,0,0,1,0,0
272,46.8,14.3,215.0,4850.0,0,0,1,0,0
273,50.4,15.7,222.0,5750.0,1,0,1,0,0
274,45.2,14.8,212.0,5200.0,0,0,1,0,0
275,49.9,16.1,213.0,5400.0,1,0,1,0,0
276,46.5,17.9,192.0,3500.0,0,1,0,1,0
277,50.0,19.5,196.0,3900.0,1,1,0,1,0
278,51.3,19.2,193.0,3650.0,1,1,0,1,0
279,45.4,18.7,188.0,3525.0,0,1,0,1,0
280,52.7,19.8,197.0,3725.0,1,1,0,1,0
281,45.2,17.8,198.0,3950.0,0,1,0,1,0
282,46.1,18.2,178.0,3250.0,0,1,0,1,0
283,51.3,18.2,197.0,3750.0,1,1,0,1,0
284,46.0,18.9,195.0,4150.0,0,1,0,1,0
285,51.3,19.9,198.0,3700.0,1,1,0,1,0
286,46.6,17.8,193.0,3800.0,0,1,0,1,0
287,51.7,20.3,194.0,3775.0,1,1,0,1,0
288,47.0,17.3,185.0,3700.0,0,1,0,1,0
289,52.0,18.1,201.0,4050.0,1,1,0,1,0
290,45.9,17.1,190.0,3575.0,0,1,0,1,0
291,50.5,19.6,201.0,4050.0,1,1,0,1,0
292,50.3,20.0,197.0,3300.0,1,1,0,1,0
293,58.0,17.8,181.0,3700.0,0,1,0,1,0
294,46.4,18.6,190.0,3450.0,0,1,0,1,0
295,49.2,18.2,195.0,4400.0,1,1,0,1,0
296,42.4,17.3,181.0,3600.0,0,1,0,1,0
297,48.5,17.5,191.0,3400.0,1,1,0,1,0
298,43.2,16.6,187.0,2900.0,0,1,0,1,0
299,50.6,19.4,193.0,3800.0,1,1,0,1,0
300,46.7,17.9,195.0,3300.0,0,1,0,1,0
301,52.0,19.0,197.0,4150.0,1,1,0,1,0
302,50.5,18.4,200.0,3400.0,0,1,0,1,0
303,49.5,19.0,200.0,3800.0,1,1,0,1,0
304,46.4,17.8,191.0,3700.0,0,1,0,1,0
305,52.8,20.0,205.0,4550.0,1,1,0,1,0
306,40.9,16.6,187.0,3200.0,0,1,0,1,0
307,54.2,20.8,201.0,4300.0,1,1,0,1,0
308,42.5,16.7,187.0,3350.0,0,1,0,1,0
309,51.0,18.8,203.0,4100.0,1,1,0,1,0
310,49.7,18.6,195.0,3600.0,1,1,0,1,0
311,47.5,16.8,199.0,3900.0,0,1,0,1,0
312,47.6,18.3,195.0,3850.0,0,1,0,1,0
313,52.0,20.7,210.0,4800.0,1,1,0,1,0
314,46.9,16.6,192.0,2700.0,0,1,0,1,0
315,53.5,19.9,205.0,4500.0,1,1,0,1,0
316,49.0,19.5,210.0,3950.0,1,1,0,1,0
317,46.2,17.5,187.0,3650.0,0,1,0,1,0
318,50.9,19.1,196.0,3550.0,1,1,0,1,0
319,45.5,17.0,196.0,3500.0,0,1,0,1,0
320,50.9,17.9,196.0,3675.0,0,1,0,1,0
321,50.8,18.5,201.0,4450.0,1,1,0,1,0
322,50.1,17.9,190.0,3400.0,0,1,0,1,0
323,49.0,19.6,212.0,4300.0,1,1,0,1,0
324,51.5,18.7,187.0,3250.0,1,1,0,1,0
325,49.8,17.3,198.0,3675.0,0,1,0,1,0
326,48.1,16.4,199.0,3325.0,0,1,0,1,0
327,51.4,19.0,201.0,3950.0,1,1,0,1,0
328,45.7,17.3,193.0,3600.0,0,1,0,1,0
329,50.7,19.7,203.0,4050.0,1,1,0,1,0
330,42.5,17.3,187.0,3350.0,0,1,0,1,0
331,52.2,18.8,197.0,3450.0,1,1,0,1,0
332,45.2,16.6,191.0,3250.0,0,1,0,1,0
333,49.3,19.9,203.0,4050.0,1,1,0,1,0
334,50.2,18.8,202.0,3800.0,1,1,0,1,0
335,45.6,19.4,194.0,3525.0,0,1,0,1,0
336,51.9,19.5,206.0,3950.0,1,1,0,1,0
337,46.8,16.5,189.0,3650.0,0,1,0,1,0
338,45.7,17.0,195.0,3650.0,0,1,0,1,0
339,55.8,19.8,207.0,4000.0,1,1,0,1,0
340,43.5,18.1,202.0,3400.0,0,1,0,1,0
341,49.6,18.2,193.0,3775.0,1,1,0,1,0
342,50.8,19.0,210.0,4100.0,1,1,0,1,0
343,50.2,18.7,198.0,3775.0,0,1,0,1,0
